id,value
3569326*fls*doubleclick*net,6.0
OneCallDomain,24.0
TwoCallDomain,14.0
analytics*ziftsolutions*com,3.0
b*6sc*co,4.0
bat*bing*com,4.0
cisco-tags*cisco*com,9.0
cisco*sc*omtrdc*net,9.0
ciscosystemsinc*tt*omtrdc*net,7.0
connect*facebook*net,3.0
googleads*g*doubleclick*net,7.0
platform*twitter*com,5.0
s177775138*t*eloqua*com,7.0
s2026391005*t*eloqua*com,3.0
s983166544*t*eloqua*com,3.0
sp*analytics*yahoo*com,3.0
sso*cisco*com,10.0
stags*bluekai*com,3.0
tags*tiqcdn*com,27.0
www*cisco*com,183.0
www*facebook*com,9.0
www*google-analytics*com,5.0
www*google*com,7.0
www*linkedin*com,4.0
www*static-cisco*com,10.0
