title	domain	maindomain	subdomain	Calls	Time	max	mean	min
Cisco - Global Home Page	www.cisco.com	cisco.com	www	183.0	284319434.995877	13307176.13673338	1553658.1147315684	-1.7727680000243708
Cisco - Global Home Page	www.static-cisco.com	static-cisco.com	www	10.0	8662069.759631278	2599855.974957964	866206.9759631278	110010.61815595574
Cisco - Global Home Page	sso.cisco.com	cisco.com	sso	10.0	5263125.334709205	1588686.9755801829	526312.5334709205	117270.03116910858
Cisco - Global Home Page	mcc-tags.cisco.com	cisco.com	mcc-tags	1.0	2413649.534616799	2413649.534616799	2413649.534616799	2413649.534616799
Cisco - Global Home Page	mktcs.cloudapps.cisco.com	cisco.com	mktcs.cloudapps	1.0	1460990.790090459	1460990.790090459	1460990.790090459	1460990.790090459
Cisco - Global Home Page	cdcvps.cloudapps.cisco.com	cisco.com	cdcvps.cloudapps	1.0	1437350.9170024856	1437350.9170024856	1437350.9170024856	1437350.9170024856
Amazon Web Services (AWS) - Cloud Computing Services	s3.amazonaws.com	amazonaws.com	s3	1.0	1393913.900017702	1393913.900017702	1393913.900017702	1393913.900017702
DoubleClick - Digital Advertising Solutions	bid.g.doubleclick.net	doubleclick.net	bid.g	1.0	996489.0279860917	996489.0279860917	996489.0279860917	996489.0279860917
Facebook - Log In or Sign Up	connect.facebook.net	facebook.net	connect	3.0	943164.9249742771	882623.6888393563	314388.30832475907	19834.05516186077
tags.tiqcdn.com	tags.tiqcdn.com	tiqcdn.com	tags	27.0	813540.2186721506	166242.55036686198	30131.119210079654	906.3859197293641
DoubleClick - Digital Advertising Solutions	googleads.g.doubleclick.net	doubleclick.net	googleads.g	7.0	723956.4592877252	521355.8758528833	103422.35132681788	-2.974448000022676
Google	www.google.com	google.com	www	7.0	625200.7773131356	529984.8881519744	89314.39675901936	4810.429601412965
c.la4-c2-chi.salesforceliveagent.com	c.la4-c2-chi.salesforceliveagent.com	salesforceliveagent.com	c.la4-c2-chi	1.0	518869.49224804714	518869.49224804714	518869.49224804714	518869.49224804714
static.licdn.com	static.licdn.com	licdn.com	static	1.0	509020.00822766655	509020.00822766655	509020.00822766655	509020.00822766655
